id;Ro;Rn;matches;wins;draws;losses
ATL;1436;1470;130;62;26;42
PAL;1324;1290;130;69;37;24
FOR;1317;1284;92;34;23;35
FLA;1192;1240;128;79;23;26
ATG;1196;1226;54;18;19;17
CEA;1302;1225;130;39;41;50
SAO;1203;1224;130;55;45;30
RED;1289;1206;54;20;21;13
VIT;1195;1189;38;9;10;19
COR;1088;1187;168;50;53;65
SAN;1145;1168;130;54;37;39
INT;1077;1138;130;60;37;33
PAR;1110;1135;38;4;11;23
ATH;1178;1114;129;56;29;44
SPO;1159;1114;92;26;21;45
GOI;1178;1109;76;24;17;35
VAS;1037;1093;114;32;37;45
AME;1124;1090;54;13;16;25
CRU;1103;1066;76;21;26;29
FLU;1109;1054;129;46;34;49
GRE;1075;1043;129;54;41;34
BAH;1048;1005;130;41;36;53
AVA;952;996;38;3;11;24
CSA;1020;995;38;8;8;22
BOT;919;901;114;31;28;55
CHA;831;856;92;18;27;47
